Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2014","2014","1000 ha","316.3","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2015","2015","1000 ha","315.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2016","2016","1000 ha","314.9","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2017","2017","1000 ha","314.2","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2018","2018","1000 ha","313.5","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2019","2019","1000 ha","312.8","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2020","2020","1000 ha","311.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2021","2021","1000 ha","311.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2022","2022","1000 ha","311.6","I","Value imputed by a receiving agency",""
"RL","Land Use","242","Fiji","5110","Area","6610","Agricultural land","2023","2023","1000 ha","311.6","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","1990","1990","1000 ha","35.9372","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","1991","1991","1000 ha","35.6656","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","1992","1992","1000 ha","35.3939","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","1993","1993","1000 ha","35.1223","I","Value imputed by a receiving agency",""
"RL","Land Use","258","French Polynesia","5110","Area","6610","Agricultural land","1994","1994","1000 ha","34.8506","I","Value imputed by a receiving agency",""
